 R201

     CUST NO.   XCOORD.    YCOORD.    DEMAND  READY TIME   DUE DATE   SERVICE TIME
    1      35.00      35.00       0.00       0.00    1000.00       0.00
    2      41.00      49.00      10.00     707.00     848.00      10.00
    3      35.00      17.00       7.00     143.00     282.00      10.00
    4      55.00      45.00      13.00     527.00     584.00      10.00
    5      55.00      20.00      19.00     678.00     801.00      10.00
    6      15.00      30.00      26.00      34.00     209.00      10.00
    7      25.00      30.00       3.00     415.00     514.00      10.00
    8      20.00      50.00       5.00     331.00     410.00      10.00
    9      10.00      43.00       9.00     404.00     481.00      10.00
   10      55.00      60.00      16.00     400.00     497.00      10.00
   11      30.00      60.00      16.00     577.00     632.00      10.00
   12      20.00      65.00      12.00     206.00     325.00      10.00
   13      50.00      35.00      19.00     228.00     345.00      10.00
   14      30.00      25.00      23.00     690.00     827.00      10.00
   15      15.00      10.00      20.00      32.00     243.00      10.00
   16      30.00       5.00       8.00     175.00     300.00      10.00
   17      10.00      20.00      19.00     272.00     373.00      10.00
   18       5.00      30.00       2.00     733.00     870.00      10.00
   19      20.00      40.00      12.00     377.00     434.00      10.00
   20      15.00      60.00      17.00     269.00     378.00      10.00
   21      45.00      65.00       9.00     581.00     666.00      10.00
   22      45.00      20.00      11.00     214.00     331.00      10.00
   23      45.00      10.00      18.00     409.00     494.00      10.00
   24      55.00       5.00      29.00     206.00     325.00      10.00
   25      65.00      35.00       3.00     704.00     847.00      10.00
   26      65.00      20.00       6.00     817.00     956.00      10.00
   27      45.00      30.00      17.00     588.00     667.00      10.00
   28      35.00      40.00      16.00     104.00     255.00      10.00
   29      41.00      37.00      16.00     114.00     255.00      10.00
   30      64.00      42.00       9.00     190.00     313.00      10.00
   31      40.00      60.00      21.00     259.00     354.00      10.00
   32      31.00      52.00      27.00     152.00     275.00      10.00
   33      35.00      69.00      23.00     660.00     777.00      10.00
   34      53.00      52.00      11.00      45.00     200.00      10.00
   35      65.00      55.00      14.00     529.00     614.00      10.00
   36      63.00      65.00       8.00     686.00     813.00      10.00
   37       2.00      60.00       5.00      41.00     208.00      10.00
   38      20.00      20.00       8.00     606.00     693.00      10.00
   39       5.00       5.00      16.00     302.00     405.00      10.00
   40      60.00      12.00      31.00      33.00     224.00      10.00
   41      40.00      25.00       9.00     360.00     437.00      10.00
   42      42.00       7.00       5.00     396.00     511.00      10.00
   43      24.00      12.00       5.00      25.00     172.00      10.00
   44      23.00       3.00       7.00     620.00     705.00      10.00
   45      11.00      14.00      18.00     233.00     340.00      10.00
   46       6.00      38.00      16.00      29.00     189.00      10.00
   47       2.00      48.00       1.00     515.00     628.00      10.00
   48       8.00      56.00      27.00      85.00     250.00      10.00
   49      13.00      52.00      36.00     773.00     906.00      10.00
   50       6.00      68.00      30.00     501.00     540.00      10.00
   51      47.00      47.00      13.00     547.00     642.00      10.00
   52      49.00      58.00      10.00     348.00     453.00      10.00
   53      27.00      43.00       9.00     174.00     299.00      10.00
   54      37.00      31.00      14.00     414.00     489.00      10.00
   55      57.00      29.00      18.00     641.00     734.00      10.00
   56      63.00      23.00       2.00     620.00     739.00      10.00
   57      53.00      12.00       6.00     585.00     692.00      10.00
   58      32.00      12.00       7.00     421.00     530.00      10.00
   59      36.00      26.00      18.00     849.00     980.00      10.00
   60      21.00      24.00      28.00      17.00     229.00      10.00
   61      17.00      34.00       3.00     721.00     862.00      10.00
   62      12.00      24.00      13.00     290.00     377.00      10.00
   63      24.00      58.00      19.00     163.00     302.00      10.00
   64      27.00      69.00      10.00      34.00     191.00      10.00
   65      15.00      77.00       9.00     214.00     333.00      10.00
   66      62.00      77.00      20.00      49.00     188.00      10.00
   67      49.00      73.00      25.00     592.00     693.00      10.00
   68      67.00       5.00      25.00     294.00     401.00      10.00
   69      56.00      39.00      36.00     637.00     752.00      10.00
   70      37.00      47.00       6.00     162.00     293.00      10.00
   71      37.00      56.00       5.00     788.00     968.00      10.00
   72      57.00      68.00      15.00     268.00     367.00      10.00
   73      47.00      16.00      25.00      31.00     208.00      10.00
   74      44.00      17.00       9.00     308.00     399.00      10.00
   75      46.00      13.00       8.00     681.00     802.00      10.00
   76      49.00      11.00      18.00     236.00     345.00      10.00
   77      49.00      42.00      13.00     290.00     373.00      10.00
   78      53.00      43.00      14.00     817.00     952.00      10.00
   79      61.00      52.00       3.00     384.00     499.00      10.00
   80      57.00      48.00      23.00     388.00     465.00      10.00
   81      56.00      37.00       6.00     839.00     968.00      10.00
   82      55.00      54.00      26.00     411.00     456.00      10.00
   83      15.00      47.00      16.00     162.00     289.00      10.00
   84      14.00      37.00      11.00      96.00     249.00      10.00
   85      11.00      31.00       7.00     436.00     511.00      10.00
   86      16.00      22.00      41.00     376.00     461.00      10.00
   87       4.00      18.00      35.00     388.00     465.00      10.00
   88      28.00      18.00      26.00     420.00     447.00      10.00
   89      26.00      52.00       9.00     279.00     388.00      10.00
   90      26.00      35.00      15.00     755.00     920.00      10.00
   91      31.00      67.00       3.00     392.00     487.00      10.00
   92      15.00      19.00       1.00     739.00     866.00      10.00
   93      22.00      22.00       2.00      18.00     181.00      10.00
   94      18.00      24.00      22.00     811.00     969.00      10.00
   95      26.00      27.00      27.00     436.00     503.00      10.00
   96      25.00      24.00      20.00      92.00     231.00      10.00
   97      22.00      27.00      11.00     607.00     690.00      10.00
   98      25.00      21.00      12.00     612.00     673.00      10.00
