RC101

      CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    1      40.00      50.00       0.00       0.00     240.00       0.00
    2      25.00      85.00      20.00     145.00     175.00      10.00
    3      22.00      75.00      30.00      50.00      80.00      10.00
    4      22.00      85.00      10.00     109.00     139.00      10.00
    5      20.00      80.00      40.00     141.00     171.00      10.00
    6      20.00      85.00      20.00      41.00      71.00      10.00
    7      18.00      75.00      20.00      95.00     125.00      10.00
    8      15.00      75.00      20.00      79.00     109.00      10.00
    9      15.00      80.00      10.00      91.00     121.00      10.00
   10      10.00      35.00      20.00      91.00     121.00      10.00
   11      10.00      40.00      30.00     119.00     149.00      10.00
   12       8.00      40.00      40.00      59.00      89.00      10.00
   13       8.00      45.00      20.00      64.00      94.00      10.00
   14       5.00      35.00      10.00     142.00     172.00      10.00
   15       5.00      45.00      10.00      35.00      65.00      10.00
   16       2.00      40.00      20.00      58.00      88.00      10.00
   17       0.00      40.00      20.00      72.00     102.00      10.00
   18       0.00      45.00      20.00     149.00     179.00      10.00
   19      44.00       5.00      20.00      87.00     117.00      10.00
   20      42.00      10.00      40.00      72.00     102.00      10.00
   21      42.00      15.00      10.00     122.00     152.00      10.00
   22      40.00       5.00      10.00      67.00      97.00      10.00
   23      40.00      15.00      40.00      92.00     122.00      10.00
   24      38.00       5.00      30.00      65.00      95.00      10.00
   25      38.00      15.00      10.00     148.00     178.00      10.00
   26      35.00       5.00      20.00     154.00     184.00      10.00
   27      95.00      30.00      30.00     115.00     145.00      10.00
   28      95.00      35.00      20.00      62.00      92.00      10.00
   29      92.00      30.00      10.00      62.00      92.00      10.00
   30      90.00      35.00      10.00      67.00      97.00      10.00
   31      88.00      30.00      10.00      74.00     104.00      10.00
   32      88.00      35.00      20.00      61.00      91.00      10.00
   33      87.00      30.00      10.00     131.00     161.00      10.00
   34      85.00      25.00      10.00      51.00      81.00      10.00
   35      85.00      35.00      30.00     111.00     141.00      10.00
   36      67.00      85.00      20.00     139.00     169.00      10.00
   37      65.00      85.00      40.00      43.00      73.00      10.00
   38      65.00      82.00      10.00     124.00     154.00      10.00
   39      62.00      80.00      30.00      75.00     105.00      10.00
   40      60.00      80.00      10.00      37.00      67.00      10.00
   41      60.00      85.00      30.00      85.00     115.00      10.00
   42      58.00      75.00      20.00      92.00     122.00      10.00
   43      55.00      80.00      10.00      33.00      63.00      10.00
   44      55.00      85.00      20.00     128.00     158.00      10.00
   45      55.00      82.00      10.00      64.00      94.00      10.00
   46      20.00      82.00      10.00      37.00      67.00      10.00
   47      18.00      80.00      10.00     113.00     143.00      10.00
   48       2.00      45.00      10.00      45.00      75.00      10.00
   49      42.00       5.00      10.00     151.00     181.00      10.00
   50      42.00      12.00      10.00     104.00     134.00      10.00
   51      72.00      35.00      30.00     116.00     146.00      10.00
   52      55.00      20.00      19.00      83.00     113.00      10.00
   53      25.00      30.00       3.00      52.00      82.00      10.00
   54      20.00      50.00       5.00      91.00     121.00      10.00
   55      55.00      60.00      16.00     139.00     169.00      10.00
   56      30.00      60.00      16.00     140.00     170.00      10.00
   57      50.00      35.00      19.00     130.00     160.00      10.00
   58      30.00      25.00      23.00      96.00     126.00      10.00
   59      15.00      10.00      20.00     152.00     182.00      10.00
   60      10.00      20.00      19.00      42.00      72.00      10.00
   61      15.00      60.00      17.00     155.00     185.00      10.00
   62      45.00      65.00       9.00      66.00      96.00      10.00
   63      65.00      35.00       3.00      52.00      82.00      10.00
   64      65.00      20.00       6.00      39.00      69.00      10.00
   65      45.00      30.00      17.00      53.00      83.00      10.00
   66      35.00      40.00      16.00      11.00      41.00      10.00
   67      41.00      37.00      16.00     133.00     163.00      10.00
   68      64.00      42.00       9.00      70.00     100.00      10.00
   69      40.00      60.00      21.00     144.00     174.00      10.00
   70      31.00      52.00      27.00      41.00      71.00      10.00
   71      35.00      69.00      23.00     180.00     210.00      10.00
   72      65.00      55.00      14.00      65.00      95.00      10.00
   73      63.00      65.00       8.00      30.00      60.00      10.00
   74       2.00      60.00       5.00      77.00     107.00      10.00
   75      20.00      20.00       8.00     141.00     171.00      10.00
   76       5.00       5.00      16.00      74.00     104.00      10.00
   77      60.00      12.00      31.00      75.00     105.00      10.00
   78      23.00       3.00       7.00     150.00     180.00      10.00
   79       8.00      56.00      27.00      90.00     120.00      10.00
   80       6.00      68.00      30.00      89.00     119.00      10.00
   81      47.00      47.00      13.00     192.00     222.00      10.00
   82      49.00      58.00      10.00      86.00     116.00      10.00
   83      27.00      43.00       9.00      42.00      72.00      10.00
