RC201

      CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    1      40.00      50.00       0.00       0.00     960.00       0.00
    2      25.00      85.00      20.00     673.00     793.00      10.00
    3      22.00      75.00      30.00     152.00     272.00      10.00
    4      22.00      85.00      10.00     471.00     591.00      10.00
    5      20.00      80.00      40.00     644.00     764.00      10.00
    6      20.00      85.00      20.00      73.00     193.00      10.00
    7      18.00      75.00      20.00     388.00     508.00      10.00
    8      15.00      75.00      20.00     300.00     420.00      10.00
    9      15.00      80.00      10.00     367.00     487.00      10.00
   10      10.00      35.00      20.00     371.00     491.00      10.00
   11      10.00      40.00      30.00     519.00     639.00      10.00
   12       8.00      40.00      40.00     195.00     315.00      10.00
   13       8.00      45.00      20.00     223.00     343.00      10.00
   14       5.00      35.00      10.00     653.00     773.00      10.00
   15       5.00      45.00      10.00      35.00     155.00      10.00
   16       2.00      40.00      20.00     174.00     294.00      10.00
   17       0.00      40.00      20.00     255.00     375.00      10.00
   18       0.00      45.00      20.00     703.00     823.00      10.00
   19      44.00       5.00      20.00     335.00     455.00      10.00
   20      42.00      10.00      40.00     254.00     374.00      10.00
   21      42.00      15.00      10.00     537.00     657.00      10.00
   22      40.00       5.00      10.00     215.00     335.00      10.00
   23      40.00      15.00      40.00     375.00     495.00      10.00
   24      38.00       5.00      30.00     201.00     321.00      10.00
   25      38.00      15.00      10.00     681.00     801.00      10.00
   26      35.00       5.00      20.00     784.00     904.00      10.00
   27      95.00      30.00      30.00     529.00     649.00      10.00
   28      95.00      35.00      20.00     146.00     266.00      10.00
   29      92.00      30.00      10.00     149.00     269.00      10.00
   30      90.00      35.00      10.00     194.00     314.00      10.00
   31      88.00      30.00      10.00     246.00     366.00      10.00
   32      88.00      35.00      20.00     165.00     285.00      10.00
   33      87.00      30.00      10.00     621.00     741.00      10.00
   34      85.00      25.00      10.00      80.00     200.00      10.00
   35      85.00      35.00      30.00     487.00     607.00      10.00
   36      67.00      85.00      20.00     657.00     777.00      10.00
   37      65.00      85.00      40.00      43.00     163.00      10.00
   38      65.00      82.00      10.00     557.00     677.00      10.00
   39      62.00      80.00      30.00     278.00     398.00      10.00
   40      60.00      80.00      10.00      64.00     184.00      10.00
   41      60.00      85.00      30.00     329.00     449.00      10.00
   42      58.00      75.00      20.00     376.00     496.00      10.00
   43      55.00      80.00      10.00      33.00     153.00      10.00
   44      55.00      85.00      20.00     574.00     694.00      10.00
   45      55.00      82.00      10.00     217.00     337.00      10.00
   46      20.00      82.00      10.00      37.00     157.00      10.00
   47      18.00      80.00      10.00     489.00     609.00      10.00
   48       2.00      45.00      10.00     105.00     225.00      10.00
   49      42.00       5.00      10.00     732.00     852.00      10.00
   50      42.00      12.00      10.00     440.00     560.00      10.00
   51      72.00      35.00      30.00     507.00     627.00      10.00
   52      55.00      20.00      19.00     326.00     446.00      10.00
   53      25.00      30.00       3.00     175.00     295.00      10.00
   54      20.00      50.00       5.00     375.00     495.00      10.00
   55      55.00      60.00      16.00     601.00     721.00      10.00
   56      30.00      60.00      16.00     599.00     719.00      10.00
   57      50.00      35.00      19.00     557.00     677.00      10.00
   58      30.00      25.00      23.00     397.00     517.00      10.00
   59      15.00      10.00      20.00     782.00     902.00      10.00
   60      10.00      20.00      19.00      42.00     162.00      10.00
   61      15.00      60.00      17.00     694.00     814.00      10.00
   62      45.00      65.00       9.00     258.00     378.00      10.00
   63      65.00      35.00       3.00     167.00     287.00      10.00
   64      65.00      20.00       6.00      39.00     159.00      10.00
   65      45.00      30.00      17.00     191.00     311.00      10.00
   66      35.00      40.00      16.00      11.00     131.00      10.00
   67      41.00      37.00      16.00     566.00     686.00      10.00
   68      64.00      42.00       9.00     268.00     388.00      10.00
   69      40.00      60.00      21.00     612.00     732.00      10.00
   70      31.00      52.00      27.00     157.00     277.00      10.00
   71      35.00      69.00      23.00     810.00     930.00      10.00
