instance=C101, CXPB1=0.5, MUTPB1=0.2, MUTPB2=0.2 
Algorithm took 15.69s

min, max, mean, std
0, 83026.54349, 781472.56693, 133312.25199, 125341.29164
1, 77272.38267, 657367.87559, 130100.40282, 117029.57782
2, 77287.20658, 696222.72585, 124946.21036, 128303.58363
3, 77439.73434, 485778.85929, 100060.76538, 61184.58482
4, 77439.73434, 677207.96263, 114136.16070, 105906.60305
5, 75771.53388, 472963.74159, 98379.12817, 64591.28675
6, 75683.78671, 696981.49903, 137974.97120, 131521.13045
7, 75604.37175, 493018.72641, 103988.99951, 75962.96328
8, 74885.29536, 518052.07400, 103690.73129, 75559.91991
9, 74743.47087, 512208.58102, 105039.31633, 84502.37660
10, 74543.34592, 332412.20892, 85827.88481, 35295.93674
11, 74543.34592, 410395.20296, 91313.77086, 57496.75196
12, 73753.63629, 311350.43332, 79256.33263, 23530.74895
13, 72665.51666, 457643.92935, 80886.78917, 38207.87952
14, 72265.13620, 110852.50284, 76363.25974, 5335.41188
15, 71612.10956, 570707.84113, 82100.06523, 51396.35908
16, 70442.65486, 91411.50993, 74271.51848, 2664.24916
17, 69026.68472, 82549.20531, 73365.87588, 1842.96252
18, 69687.45757, 658257.93283, 85678.86044, 81860.58762
19, 68457.25304, 647035.36730, 81426.35532, 62586.84678
20, 67437.72177, 440610.63188, 75248.18554, 36766.00458
21, 67437.72177, 353897.37643, 73963.53071, 28217.15857
22, 66943.31699, 77397.78235, 70373.47741, 1727.01991
23, 64799.12161, 80832.99342, 69950.05179, 2251.85816
24, 64650.93283, 78672.32360, 69217.32342, 2209.04459
25, 63933.26888, 77929.75062, 68606.13169, 1972.56666
26, 64358.85298, 79429.69321, 68056.39627, 2586.88104
27, 63125.31499, 110574.60822, 67646.29832, 4904.26807
28, 63887.74768, 81980.48008, 66737.67295, 2468.45550
29, 63102.22749, 82029.51206, 65943.07211, 2200.29967
30, 63102.22749, 79683.00324, 65568.71810, 2552.38270
31, 62243.56022, 76072.33095, 65105.56724, 2232.84399
32, 61849.71080, 77030.39918, 64407.61552, 2169.69350
33, 61820.03018, 664019.13790, 76618.67073, 81245.63024
34, 60210.59100, 73891.18536, 63630.81001, 2012.09066
35, 60210.59100, 661957.82883, 75560.03137, 83785.83429
36, 59779.01405, 657123.53193, 69447.47129, 59125.03352
37, 59186.26193, 649056.10919, 68856.73860, 58369.88957
38, 59186.26193, 662928.84567, 71143.44103, 67437.34697
39, 59004.28443, 659620.01276, 79307.15832, 101576.66800
40, 56298.46072, 652907.86295, 66763.04251, 58939.84933
41, 56298.46072, 655112.82538, 66477.25662, 59198.50240
42, 55539.12306, 96192.57656, 60453.00621, 4390.83159
43, 55434.79902, 658185.62397, 66042.97551, 59977.05589
44, 55434.79902, 69564.80954, 58558.84146, 2408.94059
45, 55410.74644, 64855.44279, 57597.07736, 1814.18322
