g, min, max, mean, std
0, 81991.42399, 665517.24826, 111544.99464, 73841.43409
1, 80091.33202, 746370.82464, 136218.65109, 133286.96001
2, 81112.18446, 684806.51559, 137694.45817, 137006.73083
3, 79944.02205, 638699.62807, 103770.21517, 82456.71939
4, 78225.03480, 665047.29070, 105215.14611, 89123.47747
5, 78524.79223, 441807.59386, 98588.51252, 51946.59905
6, 75885.29826, 447877.17427, 99965.49794, 69600.26703
7, 75210.30405, 468114.71208, 94183.64363, 54962.21547
8, 65822.07067, 266483.68021, 85116.19326, 26443.55922
9, 66100.35984, 668171.09094, 98992.29962, 77528.13075
10, 67687.15990, 288368.52019, 80333.70519, 21367.00507
11, 68770.24309, 774501.53773, 91716.25978, 82822.09416
12, 66263.81924, 298276.95933, 77181.86786, 22854.64461
13, 66263.81924, 328185.36079, 80360.66287, 40535.74967
14, 66263.81924, 290105.82143, 82374.40498, 45695.94221
15, 62401.05647, 301550.24221, 77612.46730, 38857.76537
16, 62401.05647, 645882.19235, 77541.20544, 61072.11843
17, 61416.28494, 299302.02361, 76985.67924, 43796.34172
18, 59782.03784, 297820.19863, 69044.18054, 23232.42027
19, 59782.03784, 74749.75891, 65252.50668, 2985.67290
20, 59215.01061, 77484.18387, 63931.96117, 2893.16398
21, 57925.35815, 74611.75320, 62810.98987, 2717.78625
22, 58046.35168, 74616.63465, 62023.01471, 2496.09367
23, 57925.35815, 69636.78551, 61363.02020, 2139.17094
24, 57811.39522, 68208.81035, 60617.05301, 2164.79928
25, 57002.21839, 73369.45438, 59910.93428, 2072.62909
26, 56840.45849, 387061.52610, 62672.78453, 32670.18085
27, 56464.62549, 65430.35260, 58743.93961, 1513.14787
28, 55954.71553, 254099.57726, 61828.79637, 24447.10601
29, 55449.76498, 66676.19713, 58032.62164, 1790.63721
30, 55449.76498, 665813.96226, 63415.55095, 60558.56485
31, 55005.10026, 67167.57608, 56974.02388, 1838.72596
32, 55005.10026, 72442.28517, 56612.11006, 2226.46284
33, 54609.14168, 205873.01010, 57688.56716, 14958.95025
34, 54386.48926, 67496.71835, 56103.50794, 1809.45981
35, 53757.68967, 215352.91773, 57342.36169, 15959.47966
36, 53212.86818, 107366.07322, 55876.55497, 5394.29611
37, 51812.47058, 65426.16673, 55366.24848, 2133.60908
38, 51812.47058, 59510.21604, 54709.88533, 1208.19598
39, 51227.81761, 60173.11580, 54636.19331, 1617.99328
40, 51703.64496, 223889.98164, 55712.33531, 16965.08345
41, 51038.61318, 193132.82532, 55134.12399, 13973.90905
42, 50810.99702, 71487.93380, 53753.76765, 2562.75880
43, 51213.61686, 61906.45805, 52877.12107, 1762.29355
44, 50751.83540, 266958.76710, 54549.22446, 21397.88479
45, 50751.83540, 59838.52433, 52292.18766, 1501.79706
46, 50751.83540, 60419.40400, 52031.21286, 1374.57062
47, 50718.25081, 125752.80083, 53119.75062, 7745.31122
48, 50508.20101, 64580.24145, 52114.50556, 2201.34977
49, 50391.41733, 59872.10892, 51850.90531, 1756.03944
50, 50214.59952, 59971.82362, 51467.91492, 1663.51731
51, 49888.61045, 394493.72550, 57536.86182, 43531.42275
52, 49897.93771, 90132.64049, 51587.87948, 4189.44493
53, 49214.00937, 82907.86747, 51276.11618, 3495.20825
54, 49142.42378, 205267.19712, 52102.72753, 15429.22125
55, 49142.42378, 57969.92644, 50384.07059, 1218.53214
56, 49010.01187, 58061.24805, 50346.83292, 1402.17744
57, 47784.19509, 57615.34302, 50219.34485, 1607.61168
58, 47784.19509, 57658.94297, 50119.05611, 1763.67618
59, 47784.19509, 58825.44515, 50040.43557, 1943.53039
60, 47784.19509, 59663.83027, 49956.68006, 1998.50382
61, 47624.22360, 246239.92455, 51520.65798, 19625.17096
62, 47566.61354, 58002.78952, 49232.66338, 1772.79047
63, 47319.91463, 192859.58277, 51509.56346, 16988.80778
64, 47095.92205, 56526.08146, 48634.64709, 1504.96153
65, 46946.29262, 56681.32754, 48351.36129, 1417.87613
66, 46728.57510, 56845.60566, 48172.82705, 1562.27269
67, 46728.57510, 56004.24223, 48252.34137, 1745.35790
68, 46617.77762, 56108.44684, 48029.74166, 1818.68287
69, 46563.72699, 245249.36194, 49891.84461, 19712.08921
70, 46563.72699, 54657.17979, 47478.82802, 1244.53507
71, 46331.71872, 57244.59172, 47716.56242, 1799.81793
72, 45915.23987, 55165.74130, 47640.30839, 1896.00198
73, 45915.23987, 572933.19964, 54984.67996, 57282.32507
74, 45666.39363, 55371.68667, 47361.68692, 1743.31870
75, 45687.83994, 56468.20831, 47278.72096, 1947.86277
76, 45314.73697, 55459.25212, 47111.35521, 2084.03886
77, 45431.01183, 57077.12442, 47013.63040, 1986.97746
78, 45360.88421, 214594.26836, 48576.33476, 16776.79968
79, 45023.24424, 373516.18170, 51196.27653, 36096.36134
80, 45023.24424, 53324.38508, 46358.39727, 1640.62690
81, 45126.73504, 517952.11892, 53892.36439, 54207.15191
82, 44489.27113, 99963.48913, 46804.91322, 5736.16765
83, 44489.27113, 100316.89240, 46638.04180, 5712.93296
84, 44489.27113, 53261.16619, 46581.38583, 2113.12259
85, 44489.27113, 138029.92428, 46743.65348, 9269.75000
86, 44449.08607, 51133.45028, 45448.60939, 1004.04345
87, 44145.73718, 227216.94149, 47536.13455, 18160.36092
88, 44212.74645, 630207.86140, 51267.32432, 58207.99123
89, 43409.61098, 399664.84395, 49256.13801, 35280.28029
90, 43314.32515, 54758.16941, 45636.81936, 2208.32339
91, 43314.32515, 54228.21549, 45286.82053, 2020.67537
92, 43314.32515, 55562.38324, 45184.84692, 2066.05854
93, 43195.57565, 49469.11404, 44763.68300, 1123.25427
94, 43286.33521, 643656.90063, 54631.72500, 69227.51775
95, 43286.33521, 53801.70230, 44682.26344, 1867.26341
96, 43237.21738, 54547.64494, 44646.66819, 2116.75739
97, 42957.86781, 445386.23006, 48651.01125, 39948.10653
98, 42932.54704, 169059.13526, 45963.23125, 12940.52315
99, 42904.23198, 415517.56047, 48077.56368, 37000.47981
100, 42904.23198, 218400.55748, 46038.30340, 17477.30522
101, 42878.19912, 56521.69650, 44267.13163, 2537.49858
102, 42720.96220, 48954.64476, 43633.56683, 1199.97715
103, 42720.96220, 55781.29643, 44139.95522, 2453.96366
104, 42514.16525, 53057.14500, 44056.30199, 2153.38828
105, 42592.45776, 55139.02419, 44068.98970, 2213.34533
106, 42408.28476, 55737.52802, 44084.29537, 2279.09561
107, 42242.87310, 52740.98884, 43488.37397, 1685.86108
108, 42242.87310, 51945.37931, 43612.45933, 1856.59695
109, 42242.87310, 429938.24727, 51096.45516, 49930.97968
110, 42047.83606, 423894.28968, 47627.98633, 37919.08023
111, 41806.79591, 427103.97279, 51700.97936, 53716.02374
112, 41784.69431, 93999.32580, 44497.93683, 6282.95129
113, 41460.65306, 51445.09830, 43116.94063, 1979.59227
114, 41460.65306, 307161.91444, 45968.03972, 26516.01983
115, 41162.39910, 91761.21933, 43499.69402, 5462.10815
116, 41285.78473, 145263.63292, 45197.43235, 11796.51884
117, 41187.40216, 299645.47720, 46200.37812, 26119.33220
118, 41041.90994, 477825.37507, 52214.57208, 59003.48351
119, 40957.19197, 497177.01421, 53314.26591, 63461.10588
120, 40957.19197, 93283.17377, 43011.61755, 5626.38392
121, 40809.58207, 492382.68093, 48461.10088, 45417.09154
122, 40809.58207, 54277.30292, 42194.70200, 2617.67531
123, 40682.63301, 113643.57054, 43727.78129, 9012.22139
124, 40507.76468, 605006.95451, 47883.68842, 56055.01228
125, 40537.62078, 51547.09324, 41912.74948, 2297.24880
126, 40288.20637, 51349.22614, 41612.62896, 2091.50978
127, 40288.20637, 271576.05675, 44050.49075, 23007.01817
128, 40203.99853, 54389.29958, 41545.25486, 2393.21190
129, 40203.99853, 58594.91366, 41655.75753, 2966.47161
130, 40027.05586, 446337.39211, 45336.60618, 40361.58636
131, 39722.66269, 52172.73018, 41009.53886, 1853.91749
132, 39669.76244, 260327.44790, 43663.29343, 21946.15941
133, 39669.76244, 50757.79477, 41383.20542, 2613.81086
134, 39538.06597, 49869.49839, 41005.60167, 2269.97659
135, 39538.06597, 50662.03157, 40975.69057, 2222.73310
136, 39538.06597, 50143.07363, 40625.88648, 2032.41137
137, 39440.55682, 52165.21297, 40947.70309, 2504.32611
138, 39440.55682, 50457.49037, 40728.28434, 2600.76417
139, 39440.55682, 539417.39349, 49961.06592, 64674.73085
140, 38487.48730, 50119.05460, 40657.27929, 2486.59102
141, 38487.48730, 50043.24927, 40709.23103, 2679.46830
142, 38462.23121, 49172.63160, 40473.78774, 2504.10590
143, 37950.60090, 50043.24927, 40042.52185, 2250.08318
144, 37777.89708, 57722.49034, 40086.69181, 3126.96790
145, 37719.12151, 193217.10157, 41341.14231, 15510.81202
146, 37632.12045, 54430.31360, 39778.17515, 3143.14833
147, 37777.89708, 71518.42413, 40156.09319, 4473.42103
148, 37777.89708, 153030.43159, 41089.81335, 12147.31260
149, 37777.89708, 56148.09190, 39045.47771, 2703.37869
150, 37751.22720, 485286.23100, 43926.66726, 44571.61205
151, 37597.71336, 232578.88270, 40964.20820, 19415.13612
152, 37597.71336, 70905.12814, 39247.21154, 4045.90707
153, 37326.47255, 70946.87623, 39021.00764, 3760.76725
154, 37202.54347, 73297.78893, 40163.10488, 7008.25685
155, 37202.54347, 70951.66717, 39077.42429, 4127.08790
156, 37202.54347, 71499.88643, 39012.54746, 4131.83971
157, 37004.98272, 75188.43476, 38783.65534, 4336.39835
158, 37027.67514, 63302.97948, 38388.00180, 3158.11118
159, 37027.67514, 48171.00713, 38207.13541, 2269.06029
160, 37060.21433, 47596.92297, 38143.03959, 2114.96573
161, 36964.76184, 320272.48529, 41064.87869, 28171.79803
162, 36964.76184, 53183.57967, 38092.19338, 2574.60674
163, 36869.80222, 45709.59358, 37813.19601, 1482.68135
164, 36771.75273, 47342.97399, 37983.00263, 1888.09566
165, 36771.75273, 48838.33905, 38248.43577, 2558.27040
166, 36771.75273, 48750.33332, 37822.31048, 2268.33954
167, 36697.71668, 142730.05410, 40511.24213, 13767.77237
168, 36697.71668, 47342.97399, 37523.45942, 1699.15626
169, 36697.71668, 53474.09839, 37860.36379, 2669.61661
170, 36515.12425, 514891.96049, 42478.26453, 47538.49461
171, 36439.65235, 181747.84956, 38802.16781, 14467.80973
172, 36439.65235, 47666.18033, 38257.35482, 3000.32131
173, 36439.65235, 47620.35830, 37766.58246, 2615.35005
174, 36288.39948, 146550.16874, 38310.14340, 10973.48641
175, 36288.39948, 47570.81675, 37514.51190, 2362.11197
176, 36272.27593, 48650.68248, 37570.02685, 2456.49054
177, 36272.27593, 126053.70709, 38373.28098, 9097.13877
178, 36272.27593, 214752.01976, 39569.30025, 17820.64994
179, 36197.12565, 47614.87974, 37248.65418, 2091.94460
180, 36197.12565, 54913.80147, 37451.32447, 2834.20416
181, 35840.20349, 142325.79300, 38037.72366, 10652.68695
182, 35840.20349, 46498.48680, 37319.46566, 2165.17617
183, 35840.20349, 51553.46671, 37517.43216, 2794.58664
184, 35832.70290, 46943.65277, 36990.63814, 1929.49012
185, 35832.70290, 47134.32435, 36950.05985, 2289.33317
186, 35832.70290, 52236.87252, 37331.93775, 3399.45746
187, 35735.31280, 369039.95611, 42706.75523, 40752.66005
188, 35390.52235, 49599.67920, 37021.81630, 2532.55605
189, 35390.52235, 305852.62415, 40020.56213, 26883.46863
190, 35390.52235, 207218.18214, 38894.60468, 17169.11789
191, 35390.52235, 248470.94560, 38915.53745, 21194.48614
192, 35300.26663, 46761.30064, 36648.26230, 2070.61291
193, 35300.26663, 47747.85281, 36766.35818, 2749.95008
194, 35285.63166, 89729.22505, 36692.75430, 5610.99769
195, 35285.63166, 46933.56799, 36668.40977, 2462.31038
196, 35278.13107, 48332.77795, 36591.42830, 2462.76580
197, 35258.54443, 230955.07565, 38952.35854, 19822.64941
198, 35258.54443, 71437.79964, 36984.25140, 5391.05643
199, 35124.33695, 350101.68649, 39306.96212, 31305.75025
200, 35124.33695, 277716.68400, 38320.69432, 24105.64106
201, 34989.45787, 509509.81406, 41174.05346, 47158.29906
202, 34989.45787, 283743.22459, 38431.50576, 24736.06798
203, 34974.82290, 48755.90471, 36453.02131, 2484.46177
204, 34933.01296, 45885.97179, 35807.00698, 1880.71434
205, 34901.11827, 52485.00678, 36056.57400, 2559.98326
206, 34901.11827, 51851.09914, 36279.54321, 2785.27473
207, 34864.01451, 51335.60965, 36697.07357, 3503.06616
208, 34864.01451, 51589.16986, 36005.00346, 2602.55789
209, 34734.45821, 97078.46748, 36842.34485, 6929.70662
210, 34734.45821, 114611.17488, 36976.10241, 8248.25016
211, 34620.74866, 578310.60155, 41586.44363, 54012.75317
212, 34620.74866, 54982.81881, 36159.81054, 2980.27353
213, 34662.55860, 45442.07014, 35861.72360, 2105.35008
214, 34620.74866, 49228.82870, 35766.19922, 2304.74907
215, 34620.74866, 556025.01910, 43808.01817, 58149.24623
216, 34624.73931, 44438.49903, 35677.79995, 1797.69899
217, 34624.73931, 48210.56191, 35881.48950, 2337.91725
218, 34610.84300, 45513.43256, 35858.88375, 2245.69997
219, 34519.84862, 46769.64464, 36093.87991, 2536.50808
220, 34519.84862, 46910.40010, 35785.89928, 2492.74567
221, 34519.84862, 53846.30431, 36288.16473, 3267.21522
222, 34493.28836, 52257.29537, 35594.26608, 2560.68547
223, 34479.39205, 199931.27130, 37906.96466, 16569.07603
224, 34479.39205, 46752.00187, 35720.32307, 2173.20406
225, 34624.45628, 48306.95492, 35958.58081, 2853.69797
226, 34351.19346, 44221.44318, 35675.16307, 2296.56932
227, 34351.19346, 45202.09681, 35765.55307, 2224.07722
228, 34351.19346, 44756.17365, 35779.12205, 2241.36279
229, 34351.19346, 46594.34186, 35484.59248, 2299.13091
230, 34283.19154, 46310.13697, 35831.66629, 2745.82912
231, 34283.19154, 560944.11877, 41410.27063, 52501.47881
232, 34276.35324, 101825.90190, 36617.95174, 7283.11746
233, 34276.35324, 86459.67334, 35783.76629, 5465.83362
234, 34262.44040, 207984.28073, 37381.18057, 17356.68582
235, 34262.44040, 46356.03610, 35422.86581, 2544.18336
236, 34156.54929, 266784.54669, 37448.80848, 23111.56164
237, 34156.54929, 588708.88771, 41085.12409, 55106.69783
238, 34088.54737, 44921.49100, 35268.21205, 2303.38295
239, 33908.82712, 46357.41847, 35254.83965, 2618.33611
240, 33908.82712, 45387.69859, 35612.32241, 2809.90882
241, 33908.82712, 44774.21134, 35421.18915, 2470.27366
242, 33908.82712, 70432.20435, 35609.59260, 4491.65494
243, 33908.82712, 50335.96127, 35198.29251, 2909.14682
244, 33887.51248, 45950.88272, 35124.80774, 2506.12190
245, 33908.82712, 49156.02547, 35291.67428, 3228.74869
246, 33908.82712, 45007.88771, 35074.59677, 2530.46034
247, 33908.82712, 49627.76274, 35212.04477, 3060.35843
248, 33884.73246, 43503.22981, 34837.43892, 2006.66317
249, 33884.73246, 44212.70448, 34852.07566, 2253.61193
250, 33720.24963, 48141.80201, 34972.97484, 2489.94564
251, 33720.24963, 50595.66683, 35399.36383, 3091.97642
252, 33708.81040, 484884.78811, 44054.06079, 62923.24279
253, 33708.81040, 491633.91924, 53527.01903, 88379.85661
254, 33708.81040, 485015.63732, 44832.72413, 63566.03048
255, 33705.47226, 483998.90284, 48210.61173, 76640.46251
256, 33683.99269, 483672.35107, 48420.33925, 76554.99154
257, 33683.99269, 491211.08850, 48251.18180, 77137.49075
258, 33683.99269, 46537.26616, 35230.62218, 2974.47018
259, 33613.11519, 192307.99716, 36471.40159, 15867.53379
260, 33613.11519, 45250.45020, 34539.03130, 2086.91362
261, 33560.19606, 52715.70358, 34786.21956, 2866.59542
262, 33560.19606, 45692.28934, 35183.78414, 3078.29496
263, 33560.19606, 48704.63921, 34673.49916, 2810.86822
264, 33400.02016, 192052.55053, 36298.32003, 15847.44905
265, 33473.70747, 209598.65883, 36088.13300, 17541.41119
266, 33473.70747, 45425.50244, 34730.11858, 2770.97050
267, 33473.70747, 45596.59412, 34573.02248, 2601.94074
268, 33469.76878, 46471.00620, 34403.61412, 2398.87033
269, 33457.84752, 112084.33009, 35315.18324, 8009.28793
270, 33451.06111, 435088.56601, 38831.72280, 39924.12705
271, 33423.78835, 45590.90548, 34801.50730, 2807.11637
272, 33423.78835, 45457.18641, 34820.45069, 2904.09685
273, 33423.78835, 50396.45957, 34567.22344, 2832.54003
274, 33423.78835, 45457.18641, 34966.09224, 3006.66685
275, 33419.29196, 48902.54856, 34714.50607, 3100.31131
276, 33409.57443, 45518.35455, 34715.97768, 2771.73635
277, 33376.12519, 43714.19454, 34482.07505, 2220.35883
278, 33376.12519, 222546.10229, 36902.65340, 18902.34236
279, 33275.86819, 43871.77433, 34432.09231, 2143.56264
280, 33352.49950, 49200.15306, 34725.70032, 3038.27080
281, 33260.84559, 224888.43761, 36377.05605, 19123.11533
282, 33260.84559, 78871.35868, 35066.04109, 5146.97891
283, 33260.84559, 44433.97097, 34696.23615, 2595.13480
284, 33260.84559, 45366.10694, 34732.02778, 2808.13438
285, 33245.57182, 43610.56652, 34482.41899, 2343.63630
286, 33223.53665, 48156.55540, 34147.83326, 2510.20165
287, 33223.53665, 45221.27632, 34400.34978, 2701.42711
288, 33223.53665, 376365.67995, 39775.19441, 37606.11264
289, 33218.19051, 293602.92610, 36920.23359, 25919.95853
290, 33136.85251, 43417.47634, 34420.93918, 2158.39079
291, 33109.47119, 47670.37088, 34419.39126, 2639.12781
292, 32863.82469, 43402.20257, 34184.96876, 2125.82773
293, 32863.82469, 45236.55009, 34866.46901, 3352.93137
294, 32863.82469, 46752.78100, 34808.51115, 3213.41583
295, 32848.55092, 452525.85783, 38885.67459, 41700.53961
296, 32841.78952, 45193.89500, 34203.50346, 2618.43328
297, 32841.78952, 556048.14694, 39128.86329, 52003.63457
298, 32841.78952, 45967.20406, 34350.05364, 2770.09102
299, 32826.51575, 44948.24850, 34361.39061, 2577.01842
300, 32745.85581, 45106.64674, 34279.49958, 2950.89232
301, 32745.85581, 298111.80728, 36630.68288, 26412.83262
302, 32607.65473, 44900.23255, 34254.12429, 2807.81547
303, 32580.35744, 48779.87595, 35000.92523, 3832.54649
304, 32565.08367, 49670.48915, 34466.98535, 3591.54556
305, 32565.08367, 464158.57566, 37987.35818, 42890.49850
306, 32565.08367, 43853.05414, 34025.59723, 2756.52559
307, 32565.08367, 44050.23464, 34161.66919, 3060.79073
308, 32565.08367, 46967.91887, 33739.69172, 2574.74822
309, 32518.41604, 44808.44812, 33762.37547, 2636.44370
310, 32518.41604, 43200.16810, 34013.52653, 3062.69998
311, 32453.20901, 101944.89061, 34324.83451, 7218.24319
312, 32518.41604, 46850.40648, 34085.26562, 3175.73059
313, 32518.41604, 51490.07257, 34190.55920, 3387.96314
314, 32516.66452, 49850.88734, 34331.87572, 3412.13448
315, 32518.41604, 449099.49734, 37980.35101, 41389.40475
316, 32518.41604, 42566.92599, 33429.18867, 2141.18917
317, 32518.41604, 445046.81862, 38133.58019, 41022.72976
318, 32518.41604, 81019.47959, 34191.17270, 5447.52623
319, 32402.09393, 43943.00768, 33212.39109, 1793.61587
320, 32506.02118, 42811.17957, 33086.80667, 1720.50011
321, 32506.02118, 43153.49870, 33482.78817, 1979.10492
322, 31728.87555, 577419.92848, 38820.42762, 54171.14839
323, 31728.87377, 392663.56472, 37463.28283, 35834.40637
324, 31728.87377, 116492.24242, 33933.71935, 8547.55838
325, 31701.88820, 43647.45293, 33222.24168, 2283.75106
326, 31716.47892, 46878.63310, 33598.44369, 3237.85277
327, 31552.68066, 49428.31593, 33403.49370, 3131.06723
328, 31552.68066, 277745.85931, 36033.36045, 24848.80224
329, 31552.68066, 42864.15225, 33400.50139, 3057.49414
330, 31540.28581, 42098.24817, 32791.64711, 2104.51142
331, 31488.46002, 43186.45252, 32865.39242, 2366.30960
332, 31488.46002, 189438.43090, 34887.89701, 15838.51380
333, 31488.46002, 43891.39953, 33006.01610, 2696.26807
334, 31488.46002, 43153.46542, 33109.20990, 2880.45149
335, 31488.46002, 44836.86168, 33023.09981, 2963.60396
336, 31488.45824, 43612.01610, 32612.86733, 2631.06709
337, 31488.45824, 225518.06646, 34921.72039, 19402.09587
338, 31488.45824, 492404.71102, 37287.67283, 45847.77432
339, 31424.58781, 272391.98251, 34902.20060, 24003.04768
340, 31424.58781, 42925.44652, 32828.60006, 3036.36659
341, 31345.38897, 42920.12478, 32737.45231, 2890.61086
342, 31345.38719, 43745.61785, 32906.66103, 2894.96718
343, 31312.69006, 149877.77920, 33770.71428, 11956.33711
344, 31248.81963, 42920.12478, 32822.43925, 2741.31768
345, 31248.81963, 48593.15985, 32954.63400, 3422.91429
346, 31248.81963, 44321.75238, 32637.17903, 2785.22216
347, 31248.81963, 308437.33962, 38013.91051, 38379.24763
348, 31164.32787, 55632.98298, 33039.84428, 3772.53187
349, 31169.61901, 44328.32708, 32790.43536, 2872.21860
350, 31105.74858, 45989.01377, 32431.49285, 2687.03049
351, 31105.74858, 47716.40270, 32652.78632, 3369.08597
352, 30966.38150, 43134.03971, 32505.06567, 2782.72973
353, 30966.38150, 130997.47616, 33516.90062, 10201.66430
354, 30966.38150, 44494.92380, 32697.90313, 3131.16583
355, 30887.09471, 114521.73919, 32896.59157, 8461.18618
356, 30887.09471, 47863.68981, 32572.26156, 3338.43415
357, 30887.09471, 42771.75296, 32440.14600, 3139.07277
358, 30887.09471, 114521.73919, 33046.63425, 8564.86814
359, 30848.25963, 366082.92545, 35418.77059, 33325.15665
360, 30887.09471, 43356.76588, 32252.64654, 2610.54875
361, 30887.09471, 40661.86172, 31798.78651, 1911.47739
362, 30849.09471, 143422.39246, 33496.74777, 11456.60395
363, 30709.72763, 42318.76125, 31865.40528, 2259.08747
364, 30709.72763, 45291.88504, 31945.80244, 2772.69128
365, 30709.72763, 41705.34454, 31521.95644, 1909.80056
366, 30579.62612, 46749.76942, 32046.24129, 3009.48628
367, 30579.62612, 41888.14205, 31753.48123, 2540.07175
368, 30579.62612, 43852.24248, 32155.80287, 3326.46605
369, 30579.62612, 461648.63768, 36218.70761, 42830.10025
370, 30579.62612, 42627.79852, 31836.89486, 2296.25488
371, 30541.62612, 42577.97955, 31699.64686, 2352.41973
372, 30541.62612, 41732.64107, 31367.54449, 1853.42246
373, 30540.97689, 387552.75760, 35207.89905, 35510.62012
374, 30540.97689, 51442.20184, 32230.33711, 3601.25508
375, 30540.97689, 122828.76128, 32471.27320, 9371.57109
376, 30526.31342, 238898.19785, 33664.00657, 20754.45191
377, 30526.31342, 445308.32109, 35700.27968, 41240.66773
378, 30459.23286, 74289.30560, 31951.40919, 4865.78072
379, 30459.23286, 44352.69966, 31556.34217, 2605.31684
380, 30414.02524, 47303.60032, 31667.55243, 2850.93971
381, 30414.02524, 42464.30596, 31632.48423, 2612.63103
382, 30414.02524, 279281.11499, 34252.85964, 24824.51258
383, 30378.18751, 41890.89940, 31926.03088, 2789.32708
384, 30303.51129, 41984.71610, 31427.03008, 2382.86171
385, 30303.51129, 44600.67560, 31806.80059, 3178.07657
386, 30287.54936, 40142.66506, 31210.17257, 1820.24349
387, 30287.54936, 42260.66435, 31854.39581, 2725.11411
