instance=HRC101, CXPB1=0.5, MUTPB1=0.2, MUTPB2=0.2 
Algorithm took 17.49s

min, max, mean, std
0, 18087.65763, 274331.48415, 37416.33935, 48242.42541
1, 18087.65763, 310755.42610, 31591.21811, 45385.29929
2, 17986.81686, 264517.52905, 28280.91107, 33957.26621
3, 17562.14947, 289589.11104, 26818.98667, 39993.89250
4, 16668.54422, 276750.62312, 26452.85342, 32904.06371
5, 16925.73768, 167918.85696, 22601.71687, 21215.58332
6, 16523.59349, 217535.89604, 27369.99095, 31824.95657
7, 16343.75357, 183538.97939, 22504.70909, 22598.60322
8, 16279.82489, 188757.74559, 24912.41049, 28274.62446
9, 16142.49363, 115601.69557, 19398.91870, 12020.87499
10, 16177.18088, 122705.54063, 21147.15163, 19586.01445
11, 15345.95454, 124077.86776, 21816.55815, 21437.77984
12, 15511.73570, 139319.77443, 21936.31840, 22397.67426
13, 15833.85160, 244186.68878, 26245.90324, 36982.20665
14, 15779.55444, 114698.49412, 20243.41142, 18432.61502
15, 15512.67317, 116420.07752, 22870.45194, 23632.61950
16, 15512.67317, 119269.90995, 22233.38643, 22407.96253
17, 15332.06486, 167825.20924, 19673.11916, 19664.42916
18, 15136.85208, 107279.80622, 18756.97911, 15164.31783
19, 14875.91402, 177397.48217, 20149.21884, 22048.75180
20, 14942.05816, 107317.03464, 18210.25631, 15311.42952
21, 14741.39679, 256094.46578, 23828.76163, 34088.08990
22, 14741.39679, 172023.81234, 20518.51322, 23396.42467
23, 14720.57981, 175689.22112, 22971.51836, 29186.94767
24, 14388.55919, 100420.88692, 16011.87619, 8490.47778
25, 14571.80086, 177348.18645, 19357.02733, 22051.42766
26, 14402.99098, 108862.14703, 16356.50447, 10216.29499
27, 14313.02987, 16918.44448, 14918.28138, 408.60708
28, 14255.36086, 104752.05946, 15722.21038, 8955.35705
29, 14295.49586, 103312.68719, 15685.13868, 8813.74069
30, 13958.81736, 109462.37044, 17485.13782, 15635.78304
31, 13915.09963, 15739.33971, 14698.43955, 339.74066
32, 13858.40606, 108929.62823, 19126.24730, 19551.13141
33, 13863.64685, 198567.80167, 18948.01954, 23323.69248
34, 13757.19052, 106956.59063, 16333.10379, 12949.17426
35, 13757.19052, 108718.89866, 17800.19356, 17268.95962
36, 13589.29060, 112280.82505, 17928.97725, 17674.86886
37, 13343.46400, 106000.59184, 15044.55163, 9146.53693
38, 13566.57894, 15237.69243, 14066.51753, 309.47219
39, 13566.57894, 41534.16310, 14289.76472, 2750.89569
40, 13392.51559, 15489.95136, 14035.19450, 377.10952
41, 13442.15625, 58256.54422, 14827.28995, 5595.77458
42, 13442.15625, 149393.61357, 15354.34429, 13479.20026
43, 13391.46709, 15355.55876, 13900.59066, 362.51197
44, 13047.86823, 15172.67198, 13782.44087, 333.92013
45, 13047.86823, 153040.99351, 15235.17509, 13884.78643
46, 12950.90594, 14962.83434, 13601.72811, 349.28993
47, 12923.35936, 14620.70528, 13545.10778, 347.58572
48, 12847.83552, 178228.63459, 15099.74989, 16399.11777
49, 12647.64711, 14681.98452, 13422.18723, 432.05115
50, 12647.64711, 14080.38198, 13199.98286, 296.59265
51, 12642.30121, 14113.67283, 13117.89534, 291.98536
52, 12642.30121, 13914.07716, 13059.39638, 284.83714
53, 12414.19537, 83610.64317, 13690.58860, 7031.69639
54, 12414.19537, 182920.33352, 14684.00639, 16911.76389
55, 12414.19537, 15127.43191, 12926.24007, 381.13462
56, 12361.27851, 14187.50597, 12858.27405, 343.39687
57, 12361.27851, 14225.96462, 12888.05663, 396.72248
58, 12361.27851, 13829.98464, 12754.31290, 254.65438
59, 12310.63935, 13757.81281, 12708.46557, 271.28927
60, 12155.05259, 14057.40647, 12690.83374, 337.70587
61, 12155.05259, 34916.85083, 12876.93474, 2237.57621
62, 12133.04575, 13856.38433, 12637.06437, 322.53414
63, 12023.13999, 13732.62956, 12572.17151, 330.97455
64, 12013.52948, 13447.35557, 12485.66849, 326.07965
65, 11935.61948, 13822.35909, 12440.48944, 339.43929
66, 11935.61948, 14024.59227, 12379.00264, 362.48088
67, 11831.18744, 13600.69966, 12366.16877, 389.61433
68, 11831.18744, 13328.78514, 12280.47250, 288.48115
69, 11831.18744, 13416.90298, 12200.93825, 241.32871
70, 11831.18744, 14262.74256, 12192.48759, 360.96602
71, 11661.27374, 14104.54270, 12117.94296, 359.49958
72, 11661.27374, 13529.98039, 12085.76895, 345.69786
73, 11661.27374, 13548.00324, 12044.01438, 299.94199
74, 11661.27374, 13106.46005, 11966.93768, 265.36565
75, 11661.27374, 13375.13215, 11935.92849, 295.63750
76, 11618.13581, 14162.51059, 11897.33044, 337.42197
77, 11470.08649, 54903.45093, 12317.45760, 4295.54917
78, 11470.08649, 13364.62193, 11866.88965, 311.84970
79, 11610.85604, 13107.65261, 11828.04124, 249.05204
80, 11610.85604, 13221.55841, 11804.70067, 265.59528
81, 11586.83820, 12609.04231, 11779.24187, 235.58399
82, 11586.83820, 12894.29522, 11773.81199, 227.08399
83, 11579.87595, 13469.62158, 11786.56921, 275.71819
84, 11501.21423, 33708.33534, 11993.75863, 2195.66811
85, 11502.33314, 13209.84595, 11774.05272, 310.81197
86, 11541.93391, 13473.42221, 11779.21660, 310.13422
87, 11505.61096, 13233.86379, 11806.55884, 316.79413
88, 11505.61096, 13317.21147, 11753.33132, 288.91323
89, 11449.70723, 41520.31826, 12011.11618, 2977.95010
90, 11440.24476, 12606.32675, 11694.65002, 238.21387
91, 11401.80039, 12606.32675, 11675.83727, 192.68123
92, 11403.41789, 13647.17891, 11701.58193, 323.15328
93, 11347.50916, 13010.55834, 11692.21780, 300.63091
94, 11347.50916, 12648.81800, 11636.74673, 240.20944
95, 11295.45186, 63794.38957, 12170.03779, 5200.01909
96, 11320.88283, 49614.20707, 11953.38221, 3791.47805
97, 11260.76934, 12704.71510, 11552.64123, 257.49012
98, 11275.97854, 12444.47208, 11569.69643, 257.80991
99, 11275.97854, 13431.94183, 11524.25713, 299.76013
100, 11234.14302, 13724.06932, 11542.06033, 347.16747
101, 11200.00020, 12546.35735, 11504.21597, 270.24653
102, 11200.00020, 12789.27379, 11510.08213, 308.38401
103, 11151.58450, 218097.45579, 13522.11934, 20562.89006
104, 11151.58450, 16390.41342, 11484.91023, 565.86876
105, 11082.03607, 13447.02995, 11442.62715, 343.13923
106, 11063.07137, 12818.45071, 11416.63216, 342.78036
107, 11021.62608, 12233.16872, 11359.31271, 251.52858
108, 11014.23691, 87046.99681, 12258.03312, 7759.50846
109, 11021.62608, 12545.76613, 11216.95748, 204.03524
110, 10903.66195, 12191.93835, 11246.52817, 268.76207
111, 10962.65120, 222541.07925, 13386.70272, 21023.12926
112, 10808.07057, 160904.16511, 13289.16448, 15976.13405
113, 10864.67318, 12176.42063, 11210.03247, 284.92347
