instance=HRC102, CXPB1=0.5, MUTPB1=0.2, MUTPB2=0.2
Algorithm took 23.72s

gen, min, max, mean, std
0, 19160.16203, 287328.93079, 29635.49177, 34441.96279
1, 18227.93705, 241301.69855, 28109.10396, 33476.80552
2, 17528.67599, 218752.57855, 25581.02458, 27584.49158
3, 16829.40972, 235175.92920, 27519.43436, 33032.19405
4, 16829.40972, 268623.25287, 23882.80948, 31062.05603
5, 16829.40972, 233763.84361, 26356.88996, 35417.51479
6, 16829.40972, 86716.79669, 20507.70337, 9478.28117
7, 16466.07044, 174480.30616, 20307.09490, 17043.25722
8, 16223.31271, 55431.13160, 18126.49077, 3844.16503
9, 16223.31271, 18830.87620, 17282.04078, 529.53062
10, 16122.01599, 18466.81210, 17035.11622, 548.41784
11, 15765.71264, 237508.04444, 19049.26744, 21961.38560
12, 15765.71264, 18605.86586, 16742.66375, 546.86670
13, 15600.58465, 269301.07210, 22341.32741, 34035.56243
14, 15491.53609, 18086.44605, 16445.06891, 563.91553
15, 15457.10302, 17567.84224, 16341.63380, 430.20657
16, 15261.64890, 18191.69590, 16194.99143, 529.17709
17, 15261.64890, 153897.54959, 18501.07815, 17089.88839
18, 14917.83721, 223941.92467, 18807.72128, 22353.77107
19, 14880.76385, 141543.87219, 18094.42672, 16835.05670
20, 14560.90988, 16549.28841, 15529.69002, 417.92659
21, 14419.47283, 86656.50354, 16051.56314, 7109.86647
22, 14295.71043, 16659.68167, 15153.96950, 444.89486
23, 14178.22852, 17281.52430, 14963.82838, 453.60602
24, 14195.09105, 15895.90151, 14824.79800, 374.10166
25, 13907.50341, 16048.87553, 14642.61072, 378.44793
26, 13689.55291, 15376.50854, 14489.61180, 343.88195
27, 13637.07931, 15609.87348, 14429.81896, 401.06591
28, 13406.68148, 15451.66121, 14262.75203, 393.21892
29, 13305.24827, 15474.37174, 14098.66332, 374.00293
30, 13305.24827, 14914.46382, 13956.51899, 344.49443
31, 13084.00511, 251790.94794, 16200.13785, 23679.96099
32, 12860.37320, 14987.65627, 13710.09274, 387.06362
33, 12860.37320, 38777.87832, 13828.45187, 2529.99709
34, 12787.22074, 162854.29282, 14902.18153, 14872.57143
35, 12723.70594, 15226.10758, 13364.58303, 426.53498
36, 12751.82232, 147390.66185, 14580.26178, 13351.92109
37, 12618.40736, 14550.57577, 13163.84375, 346.27434
38, 12566.78340, 15382.52675, 13154.90072, 440.79350
39, 12566.78340, 46748.14408, 13385.20610, 3375.33428
40, 12490.98554, 174466.55409, 14522.18511, 16077.35627
41, 12453.98287, 257833.92007, 22248.45606, 39583.35441
42, 12318.93395, 177502.57966, 23109.02574, 38407.17434
43, 12184.57732, 181952.25919, 30690.02046, 50590.98209
44, 12100.90174, 178548.37155, 22461.85507, 37998.78913
45, 12032.78942, 215458.19978, 24460.53096, 42496.93635
46, 12046.94092, 177150.02145, 22246.51551, 37843.87382
47, 12046.94092, 171516.38720, 17328.48796, 26547.42096
48, 12046.94092, 118671.22920, 13680.92906, 10557.18642
49, 11972.77450, 13684.10142, 12593.87955, 376.70101
50, 11963.73113, 13767.23107, 12449.11206, 348.63426
51, 11922.60350, 13521.99883, 12325.50513, 281.89711
52, 11834.17214, 13271.59889, 12289.67348, 305.11603
53, 11864.59395, 161551.03142, 13721.52975, 14859.71397
54, 11796.43625, 220788.79533, 14297.99512, 20755.22005
55, 11741.94564, 13396.05058, 12194.34702, 346.06138
56, 11695.87389, 13741.70533, 12092.96895, 312.32066
57, 11695.87389, 13079.33414, 12052.52397, 300.86235
58, 11542.89264, 12739.79558, 11967.40415, 248.51216
59, 11562.36854, 12765.12728, 11925.12472, 238.30958
60, 11562.36854, 13094.07382, 11962.80638, 362.21616
61, 11483.58556, 40572.33889, 12176.32974, 2865.50347
62, 11483.58556, 85619.51191, 12606.65339, 7342.60434
63, 11483.58556, 138197.56619, 13084.05180, 12577.83418
64, 11483.58556, 12482.74024, 11772.58685, 226.28702
65, 11445.99270, 100921.71757, 12650.98545, 8875.16179
